Rank,Word,Count
1,internship,48
2,data,38
3,engineer,32
4,and,31
5,senior,31
6,manager,29
7,ai,23
8,specialist,21
9,training,21
10,developer,18
11,with,16
12,security,16
13,cyber,15
14,engineering,13
15,english,12
16,consultant,12
17,science,12
18,representative,11
19,analytics,11
20,support,10
21,customer,10
22,software,10
23,development,9
24,business,9
25,intern,9
26,sofia,8
27,lead,8
28,analyst,8
29,marketing,8
30,program,8
31,full,8
32,stack,8
33,technical,7
34,service,7
35,devops,7
36,digital,7
37,remote,7
38,in,7
39,sales,7
40,coordinator,6
41,for,6
42,product,6
43,scientist,5
44,designer,5
45,french,5
46,project,5
47,safety,5
48,delivery,5
49,finance,5
50,sap,5
51,study,5
52,growth,5
53,expert,5
54,trust,4
55,backend,4
56,officer,4
57,emea,4
58,design,4
59,sr,4
60,python,4
61,net,4
62,researcher,4
63,partner,4
64,k,4
65,hr,4
66,dynamics,4
67,associate,3
68,trading,3
69,user,3
70,experience,3
71,cat,3
72,ii,3
73,hybrid,3
74,bb,3
75,speaking,3
76,bulgaria,3
77,junior,3
78,learning,3
79,account,3
80,phpnodejs,3
81,android,3
82,german,3
83,team,3
84,job,3
85,uiux,3
86,acquisition,3
87,architect,3
88,director,3
89,head,2
90,of,2
91,forensic,2
92,cloud,2
93,golang,2
94,smart,2
95,work,2
96,anywhere,2
97,mastery,2
98,spanish,2
99,qa,2
100,construction,2
101,strategy,2
102,back,2
103,end,2
104,benefits,2
105,cybersecurity,2
106,fullstack,2
107,months,2
108,contract,2
109,supervisor,2
110,relocation,2
111,to,2
112,malta,2
113,penetration,2
114,tester,2
115,content,2
116,saas,2
117,application,2
118,mobile,2
119,email,2
120,mwd,2
121,chief,2
122,based,2
123,executive,2
124,ftc,2
125,administrator,2
126,ukg,2
127,fo,2
128,supply,2
129,chain,2
130,directorresearch,1
131,health,1
132,economic,1
133,modelling,1
134,evidera,1
135,high,1
136,frequency,1
137,hft,1
138,accounting,1
139,economist,1
140,fmx,1
141,plovdiv,1
142,survey,1
143,i,1
144,solutions,1
145,arabic,1
146,release,1
147,train,1
148,hyperspace,1
149,contracts,1
150,attorney,1
151,hochschulpraktikantin,1
152,daten,1
153,und,1
154,wissenschaft,1
155,reconciliations,1
156,clinical,1
157,trial,1
158,drug,1
159,rr,1
160,protection,1
161,gdpr,1
162,softwaretester,1
163,dwm,1
164,communications,1
165,buildings,1
166,agile,1
