trackingUrn,repostedJob,title,$recipeTypes,posterId,$type,contentSource,entityUrn
urn:li:jobPosting:4109184889,true,Associate Director/Research Scientist - Health Economic Modelling Evidera,[com.linkedin.deco.recipe.anonymous.Anon1578943416],785091003,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4109184889
urn:li:jobPosting:4051815637,true,Head of Engineering - High Frequency Trading (HFT),[com.linkedin.deco.recipe.anonymous.Anon1578943416],1053754511,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4051815637
urn:li:jobPosting:4109982293,false,User Experience Designer,[com.linkedin.deco.recipe.anonymous.Anon1578943416],308621374,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4109982293
urn:li:jobPosting:4110891714,false,Technical Support Specialist with French and English,[com.linkedin.deco.recipe.anonymous.Anon1578943416],1257631249,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4110891714
urn:li:jobPosting:3773781834,true,Customer Service Representative with English - Sofia,[com.linkedin.deco.recipe.anonymous.Anon1578943416],5101843,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:3773781834
urn:li:jobPosting:4061899777,true,Forensic Accounting Lead,[com.linkedin.deco.recipe.anonymous.Anon1578943416],428787455,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4061899777
urn:li:jobPosting:4110434807,false,Project economist (Cat. II),[com.linkedin.deco.recipe.anonymous.Anon1578943416],1322739583,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4110434807
urn:li:jobPosting:4096859848,true,Software Engineering Manager (Trading),[com.linkedin.deco.recipe.anonymous.Anon1578943416],1053754511,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4096859848
urn:li:jobPosting:4091696671,true,Експедитор /и кантарджия (F/M/X),[com.linkedin.deco.recipe.anonymous.Anon1578943416],950007270,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4091696671
urn:li:jobPosting:4110245095,false,Project Engineer (Cat. II),[com.linkedin.deco.recipe.anonymous.Anon1578943416],1322739583,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4110245095
urn:li:jobPosting:4110441008,false,DevOps Training and Internship,[com.linkedin.deco.recipe.anonymous.Anon1578943416],1110496096,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4110441008
urn:li:jobPosting:3787307384,true,Customer Service Representative with English - Sofia - Hybrid,[com.linkedin.deco.recipe.anonymous.Anon1578943416],5101843,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:3787307384
urn:li:jobPosting:3773787223,true,Customer Service Representative with English - Plovdiv,[com.linkedin.deco.recipe.anonymous.Anon1578943416],5101843,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:3773787223
urn:li:jobPosting:4109186729,true,Survey Development Coordinator I,[com.linkedin.deco.recipe.anonymous.Anon1578943416],785091003,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4109186729
urn:li:jobPosting:4110054621,false,DevOps Engineer,[com.linkedin.deco.recipe.anonymous.Anon1578943416],842484302,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM,urn:li:fsd_jobPosting:4110054621
urn:li:jobPosting:4110896437,false,B2B Solutions Consultant with French and English,[com.linkedin.deco.recipe.anonymous.Anon1578943416],1257631249,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4110896437
urn:li:jobPosting:4110890331,false,Digital Trust and Safety Analyst with Arabic and English,[com.linkedin.deco.recipe.anonymous.Anon1578943416],1257631249,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4110890331
urn:li:jobPosting:4110525698,false,Delivery Support,[com.linkedin.deco.recipe.anonymous.Anon1578943416],34287313,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4110525698
urn:li:jobPosting:4110540700,false,Release Train Engineer for Hyperspace,[com.linkedin.deco.recipe.anonymous.Anon1578943416],8179821,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4110540700
urn:li:jobPosting:4109989183,false,(Senior) Software Engineer for Cloud Development,[com.linkedin.deco.recipe.anonymous.Anon1578943416],8179821,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4109989183
urn:li:jobPosting:4109190365,true,Contracts Attorney,[com.linkedin.deco.recipe.anonymous.Anon1578943416],785091003,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4109190365
urn:li:jobPosting:4096387802,true,Hochschulpraktikant/-in Daten und Wissenschaft,[com.linkedin.deco.recipe.anonymous.Anon1578943416],38432027,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4096387802
